0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"(387.37107619569093, 1901.688150610811)","(387.37563779802025, 1901.6890327869432)","(387.3707820654321, 1901.683004697609)","(387.35718358017925, 1901.6842134320277)","(387.3438961676947, 1901.6696233178316)","(387.3609308808229, 1901.669027721698)","(387.3562672277595, 1901.6720566885965)","(387.3600052438014, 1901.6666889219578)","(387.33973829137256, 1901.661544342918)","(387.34980970446793, 1901.6596375126742)","(387.36461592517406, 1901.6795975952014)","(387.3596380622747, 1901.651302892036)","(387.35759724335776, 1901.6687304623517)","(387.359726710497, 1901.6599729872653)","(387.35462484505433, 1901.6703344576395)","(387.3590861342678, 1901.6833343976737)","(387.3449989443199, 1901.680099758719)","(387.35650306273646, 1901.6700820367557)","(387.3552616925144, 1901.6684557333008)","(387.3704362940514, 1901.6708138317783)","(387.3534881580221, 1901.6773518075652)"
"(812.7381945045076, 854.2764665863081)","(812.7453038727556, 854.2800108827223)","(812.6691402256185, 854.3727651963947)","(812.813926278903, 854.1913629637122)","(812.8305579805176, 854.2069375641406)","(812.8442718967813, 854.1230620008447)","(812.8597696546028, 854.1686452282543)","(812.8432172571677, 854.198256302331)","(812.8303306978437, 854.0953383827335)","(812.8323083458803, 854.1611575553244)","(812.8450749190845, 854.1347512411544)","(812.8526290378095, 854.1227612610662)","(812.8094395441245, 854.1569553496463)","(812.7610936282166, 854.1257744537406)","(812.8465172229228, 854.2088047781983)","(812.8456541148005, 854.2257819125015)","(812.8435271660804, 854.1400639704237)","(812.8356345032571, 854.0046906865233)","(812.843839969936, 854.1343569977206)","(812.8229395330336, 854.1493611240811)","(812.8339237993174, 854.1159537064714)"
"(923.5795438319946, 673.6291266800602)","(923.5923108635523, 673.6070824275379)","(923.5991762363676, 673.6309033200629)","(923.5810469054879, 673.6130836035327)","(923.5850265506874, 673.6277928494112)","(923.5804375174728, 673.6212004617624)","(923.5886940128592, 673.606800566915)","(923.5934023461524, 673.6091001697218)","(923.5484302424023, 673.6287026230488)","(923.5739845141463, 673.6088168814998)","(923.5647862452735, 673.6149700543153)","(923.5714003768092, 673.6141301722345)","(923.5897608602082, 673.5983984441932)","(923.558974699855, 673.573191562412)","(923.6009321868906, 673.6149146270235)","(923.5693438159799, 673.6163192273154)","(923.5826470794192, 673.5947223908353)","(923.5822634498387, 673.5493858849995)","(923.5888521739404, 673.5965968355857)","(923.5889611671583, 673.6147213461302)","(923.5774710442387, 673.5983828521624)"
"(384.44214486565824, 1558.9246260286939)","(384.4616841308768, 1558.9229631161245)","(384.4579911929274, 1558.9349755815813)","(384.44916384019587, 1558.887407351178)","(384.4598032057917, 1558.9020884348276)","(384.4406893225346, 1558.9081175476688)","(384.4314551107506, 1558.89247417106)","(384.45048074086617, 1558.9353231039252)","(384.4380568845838, 1558.8948342882488)","(384.4562775963613, 1558.914184328643)","(384.4330048523903, 1558.9055643131796)","(384.46112217451713, 1558.8942850056467)","(384.4519869850918, 1558.918020507949)","(384.4348870825578, 1558.887212055918)","(384.46539689002253, 1558.9193407353534)","(384.46651153822177, 1558.9291056241068)","(384.44689792229093, 1558.9066359923802)","(384.4258614045722, 1558.8476055772314)","(384.44427853880444, 1558.9389154116163)","(384.42088746850663, 1558.9342933396588)","(384.43985726475535, 1558.9002307492851)"
"(285.4626370182984, 1725.571284589452)","(285.4819649969555, 1725.5761448310132)","(285.4619280357832, 1725.5804485264703)","(285.44014901378125, 1725.5655598673284)","(285.4693875156232, 1725.572257683344)","(285.4493024347239, 1725.542444981299)","(285.427813745821, 1725.5674911567326)","(285.4454585671632, 1725.564599643001)","(285.41826460148513, 1725.539232983068)","(285.4454426219297, 1725.5760128060792)","(285.4319574107631, 1725.5166417625965)","(285.45271888381694, 1725.5599104661617)","(285.4239803649067, 1725.5428576036172)","(285.42717874892924, 1725.5672342462465)","(285.440275626873, 1725.5539970011198)","(285.4576076422369, 1725.590439863324)","(285.4704242435177, 1725.5389007435933)","(285.4471574133713, 1725.50001996573)","(285.4359304060249, 1725.5424005446916)","(285.4354994144311, 1725.5741796227487)","(285.44308167337584, 1725.5258575632133)"
"(286.2270781569486, 1376.736227590448)","(286.2535962298429, 1376.7062093833702)","(286.25104146885275, 1376.7546618142194)","(286.229505150263, 1376.6535464828144)","(286.2322612838856, 1376.702117614737)","(286.2342323081544, 1376.6424367956242)","(286.2515235350378, 1376.671525268151)","(286.25709905177354, 1376.664947424333)","(286.22139936424617, 1376.6361677982954)","(286.26257138408005, 1376.6418281725462)","(286.2280836919213, 1376.6402579201686)","(286.25655630827777, 1376.6208832028183)","(286.25651170804394, 1376.6270383314227)","(286.21679606164486, 1376.6162301872553)","(286.2455934396522, 1376.6882086124065)","(286.24892650524964, 1376.6545320334262)","(286.26086859280167, 1376.620442401509)","(286.2393222408858, 1376.5759416276169)","(286.2451850412553, 1376.6254911682258)","(286.2432862765518, 1376.6409975983217)","(286.25904232861444, 1376.6501511184567)"
"(604.9562515601639, 848.0634704052173)","(604.966421826432, 848.0495109380457)","(604.9496856244391, 848.0329842780105)","(604.9175939056819, 847.9729015757158)","(604.9302253800174, 848.0179681680993)","(604.902218659787, 847.9642953477543)","(604.8977511626673, 848.0297366071941)","(604.8989299829236, 848.0671494058153)","(604.8717780097926, 847.972253008339)","(604.87475789057, 848.0319163135485)","(604.8701426158259, 848.0136705554946)","(604.9075788132373, 847.989008535837)","(604.8866603820233, 848.0087239247254)","(604.8153297290419, 847.9862214487152)","(604.8777368159261, 848.0854214435261)","(604.8602388234154, 848.1036369349249)","(604.8550866461328, 847.9936834375641)","(604.8825452791936, 847.8579554915018)","(604.8673928769434, 848.0173672374675)","(604.8507866259903, 848.0094609433562)","(604.8527230915306, 848.003473365027)"
"(714.3704027582386, 667.0600813833734)","(714.390452335131, 667.0482038228322)","(714.381839532657, 667.081838647748)","(714.4154112067774, 667.0384257828003)","(714.4058428981333, 667.0516977003881)","(714.3755901341216, 667.05994354425)","(714.3731581693434, 667.0639238823293)","(714.3808899367889, 667.0661126364247)","(714.3942242864415, 667.0326069320043)","(714.3896339109815, 667.0591267075017)","(714.3616378279191, 667.0174308072528)","(714.4122258469032, 667.0420328311774)","(714.3763027488017, 667.0394204260622)","(714.3734548937168, 667.0247791594081)","(714.380071558672, 667.048686288791)","(714.3771237153669, 667.0728984655849)","(714.3732005765361, 667.0488030109234)","(714.3634857908879, 667.0182286047365)","(714.3789450791751, 667.0402847210397)","(714.3641266526087, 667.0511544061274)","(714.3757263673599, 667.0363612362969)"
"(1236.4178478594695, 863.7137564546315)","(1236.4305191830297, 863.7527180658615)","(1236.4017326411815, 863.7254799262661)","(1236.4420174692614, 863.6766570026493)","(1236.4594208974834, 863.6760613505288)","(1236.4621766781393, 863.6622518749712)","(1236.4474939875038, 863.687361599953)","(1236.4576000887482, 863.6866404774254)","(1236.4368980289394, 863.6760583713013)","(1236.4544964041927, 863.675408457558)","(1236.4368014198296, 863.6696558530055)","(1236.4328574720305, 863.655846128574)","(1236.4420938655608, 863.6518753844991)","(1236.4378608686332, 863.6353119853536)","(1236.4315989754618, 863.6740853206419)","(1236.4418935504718, 863.7114994709862)","(1236.472471990521, 863.6807125232906)","(1236.460219872642, 863.6399413118421)","(1236.4304630017084, 863.6544928527998)","(1236.4428448246633, 863.663723128293)","(1236.4242129969439, 863.6712433973462)"
"(1338.634502718008, 1048.915997385766)","(1338.6524125548174, 1048.9169863584784)","(1338.62475375676, 1048.9325458723201)","(1338.5734403825675, 1048.9461790537218)","(1338.5714587880286, 1048.9369424664199)","(1338.588755566146, 1048.9325646684094)","(1338.6202246300254, 1048.918996702111)","(1338.6204851112136, 1048.9581152697474)","(1338.6074195741303, 1048.9325461166495)","(1338.608357648049, 1048.952821917892)","(1338.5838775930868, 1048.9150309544984)","(1338.6172858822047, 1048.9295298337433)","(1338.5956609229797, 1048.919894604879)","(1338.587931574406, 1048.9096786260948)","(1338.5872977158256, 1048.9567460312335)","(1338.5908787084834, 1048.9543275944925)","(1338.5986858153165, 1048.948484354634)","(1338.60590399391, 1048.884604225445)","(1338.619838324788, 1048.925323421997)","(1338.6056958501522, 1048.9108102546572)","(1338.5971748371687, 1048.9063058068343)"
"(1548.5658992564283, 1057.527808873827)","(1548.5604751524716, 1057.5087695067396)","(1548.5812868425874, 1057.4647575950125)","(1548.5581120604231, 1057.5076778899484)","(1548.5712365722713, 1057.5251950044537)","(1548.5644622952418, 1057.5237780629855)","(1548.562126039724, 1057.5454786601201)","(1548.5697242055337, 1057.5236290724263)","(1548.557264303011, 1057.5185253645752)","(1548.5561106944617, 1057.5422167199479)","(1548.552397328482, 1057.521320981994)","(1548.5525878273156, 1057.529975452861)","(1548.5780450030759, 1057.5274036062851)","(1548.5505377306997, 1057.4975206179852)","(1548.5838563378063, 1057.5502373535296)","(1548.570393682553, 1057.5372669306953)","(1548.5502932378356, 1057.5495769625268)","(1548.564537717598, 1057.5145908499615)","(1548.5487915125736, 1057.5604268175173)","(1548.5376253529691, 1057.5500088658289)","(1548.5375299644393, 1057.5549006878418)"
"(1652.2117506005834, 1239.4041541572049)","(1652.2215165887662, 1239.4045455505268)","(1652.1951125479422, 1239.4010237545356)","(1652.17648253036, 1239.4517956953125)","(1652.1946973537028, 1239.4543721721116)","(1652.1820422267301, 1239.4518917043408)","(1652.1818244811113, 1239.4445533322275)","(1652.1678235507954, 1239.4568839729855)","(1652.207051800947, 1239.4365704329489)","(1652.1768383347355, 1239.4595046691543)","(1652.1739084761366, 1239.4371150113325)","(1652.187450781776, 1239.431442265753)","(1652.1724395718113, 1239.4308526264526)","(1652.1868334074613, 1239.4458532085991)","(1652.1697503622318, 1239.4662887543254)","(1652.1893551024307, 1239.463119872448)","(1652.1780036696616, 1239.4385060261893)","(1652.177969312954, 1239.4205125798867)","(1652.1702373490002, 1239.4648623147857)","(1652.1520413540486, 1239.4433902600392)","(1652.1690355523094, 1239.4355986027665)"
"(293.2179037912049, 1017.1535922681509)","(293.2023923347179, 1017.1477293002993)","(293.2108044244696, 1017.1446573984101)","(293.21402647876835, 1017.1375038765474)","(293.2210598500549, 1017.1555363788744)","(293.2172585188223, 1017.1107324223389)","(293.21281970222395, 1017.1270477626564)","(293.2258933886697, 1017.1393202906185)","(293.18681680795834, 1017.1435839993513)","(293.2007019727771, 1017.1365107114162)","(293.2159986321631, 1017.1164148695761)","(293.24432953035193, 1017.1221943046511)","(293.20990241959674, 1017.1155473488772)","(293.1762740954036, 1017.1300384712189)","(293.1840979017858, 1017.1488738498097)","(293.20276274347526, 1017.1505711083088)","(293.2080199470453, 1017.1242000444823)","(293.1935926164848, 1017.0362035809568)","(293.1967961864816, 1017.150505959016)","(293.16958014994265, 1017.1365186839353)","(293.174825246961, 1017.107882690293)"
